year,background
1858,white
1859,white
1860,white
1861,white
1862,white
1863,white
1864,white
1865,white
1866,white
1867,white
1868,white
1869,black
1870,white
1871,white
1872,black
1873,black
1874,black
1875,black
1876,black
1877,black
1878,black
1879,black
1880,black
1881,black
1882,black
1883,black
1884,black
1885,black
1886,black
1887,black
1888,black
1889,black
1890,black
1891,black
1892,black
1893,black
1894,black
1895,black
1896,black
1897,black
1898,black
1899,black
1900,black
1901,black
1902,black
1903,black
1904,black
1905,black
1906,black
1907,white
1908,black
1909,black
1910,white
1911,black
1912,black
1913,white
1914,white
1915,white
1916,white
1917,white
1918,white
1919,white
1920,white
1921,white
1922,white
1923,white
1924,white
1925,white
1926,white
1927,white
1928,white
1929,white
1930,white
1931,white
1932,white
1933,white
1934,white
1935,white
1936,white
1937,white
1938,white
1939,white
1940,white
1941,white
1942,white
1943,white
1944,white
1945,white
1946,white
1947,white
1948,white
1949,white
1950,white
1951,white
1952,white
1953,white
1954,white
1955,white
1956,white
1957,white
1958,white
1959,white
1960,white
1961,white
1962,white
1963,white
1964,white
1965,white
1966,white
1967,white
1968,white
1969,white
1970,white
1971,white
1972,white
1973,white
1974,white
1975,white
1976,white
1977,white
1978,white
1979,white
1980,white
1981,white
1982,white
1983,white
1984,white
1985,white
1986,white
1987,white
1988,white
1989,white
1990,white
1991,white
1992,white
1993,white
1994,white
1995,white
